Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C117814	C71153		ECG Test Code	TWHAG	T Wave Amplitude, Aggregate	An aggregate T wave amplitude value based on the measurement of T wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	T Wave Amplitude Aggregate
C117815	C71153		ECG Test Code	TWHSB	T Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the T wave measured from the isoelectric baseline to the peak of the T wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	T Wave Amplitude Single Beat
C111330	C71153		ECG Test Code	VTARRY	Ventricular Arrhythmias	An electrocardiographic assessment of ventricular arrhythmias excluding tachycardias.	Ventricular Arrhythmia ECG Assessment
C111331	C71153		ECG Test Code	VTTARRY	Ventricular Tachyarrhythmias	An electrocardiographic assessment of supraventricular tachyarrhythmias.	Ventricular Tachyarrhythmia ECG Assessment
C71151		Yes	ECG Test Method	EGMETHOD	ECG Test Method	Terminology codelist used with ECG Test Methods within CDISC.	CDISC SDTM ECG Test Method Terminology
C90349	C71151		ECG Test Method	10 LEAD STANDARD	10 Lead Standard	An electrocardiogram lead placement on the subject using a ten electrode lead set to synthesize standard 12 lead electrocardiograph data to elicit an electrical view of the heart.	10 Lead Standard
C71125	C71151		ECG Test Method	12 LEAD 1 LEAD MISSING	12 Lead 1 Lead Missing	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but one standard lead position is missing therefore requiring a Mortara source consistency filter. (NCI)	12 Lead Placement 1 Lead Missing
C71116	C71151		ECG Test Method	12 LEAD CABRERA	12 Lead Cabrera	An electrocardiogram (ECG) lead placement whereby the display of the 12 standard ECG leads is in an orderly sequence in a single horizontal display of: aVL, I, -aVR, II, aVF, III, V1 to V6. In the Cabrera display the limb lead aVR is inverted (-aVR) to obtain the same positive leftward orientation as the other 5 limbs. (NCI)	12 Lead Placement Cabrera
C71123	C71151		ECG Test Method	12 LEAD EASI DOWER TRANSFORMATION	12 Lead EASI Dower Transformation	An electrocardiogram (ECG) lead placement whereby 4 chest electrodes and 1 reference electrode are used to allow for continuous monitoring at the clinical level. This placement creates a 12 lead ECG that allows the acquisition of simultaneous events in the frontal, horizontal and sagittal heart planes with the linear transformation of vectors. This system provides a three-dimensional portrayal of the heart and uses mathematical and fixed coefficients for each lead. (NCI)	Lead Placement EASI Dower Transformation
C71103	C71151		ECG Test Method	12 LEAD MASON LIKAR	12 Lead Mason Likar	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but the standard lead positions have been modified for ECG recording during exercise. Exercise stress testing requires moving the limb electrodes to more central positions on the thorax. The electrodes are placed in bony prominences close to the bases of the respective limbs in order to avoid skeletal muscle artifact, provide stability for recording electrodes and to record waveforms similar to the standard limb sites. (NCI)	12 Lead Placement Mason Likar
C71110	C71151		ECG Test Method	12 LEAD MODIFIED MASON LIKAR	12 Lead Modified Mason Likar	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but the Mason Likar lead positions have been modified so that V1 to V6 on the chest are part of a single electrode pad. In addition, lead CM5 is substituted for lead aVR. (NCI)	12 Lead Placement Mason Likar Modified
C71114	C71151		ECG Test Method	12 LEAD NON-STANDARD	12 Lead Non-Standard	An electrocardiogram (ECG) lead placement whereby the limb leads are placed on the torso for easier and faster application in emergency situations. (NCI)	12 Lead Placement Non-Standard
C116139	C71151		ECG Test Method	12 LEAD RIGHT-SIDED PRECORDIAL LEADS	12 Lead Right-sided Precordial Leads; Right-sided Chest Leads	An electrocardiogram (ECG) lead placement whereby the precordial leads are intentionally placed on the right side of the chest.	12 Lead Placement Right-sided Precordial Leads
C71112	C71151		ECG Test Method	12 LEAD SINGLE PAD	12 Lead Single Pad	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but the standard lead positions have been modified so that all leads on the chest are part of a single electrode pad. (NCI)	12 Lead Placement Chest
C71102	C71151		ECG Test Method	12 LEAD STANDARD	12 Lead Standard	An electrocardiogram (ECG) lead placement whereby 12 leads are recorded, with each lead representing an electrical view of the heart. The six leads recorded in the frontal plane are derived from the placement of 3 electrodes (RA or Right Arm, LA, or Left Arm, and LL or Left Leg). These bipolar frontal leads form the basis of Einthoven's triangle, and are represented by leads I, II, and III. Three other derived (or augmented) bipolar frontal vectors are also recorded on a standard 12-lead EKG, aVR, aVF, and aVL. 6 unipolar leads, corresponding to V1 - V6 measure the electrical activity in the horizontal plane. The placement for the V leads is as follows: V1: right 4th intercostal space,V2: left 4th intercostal space, V3: halfway between V2 and V4, V4: left 5th intercostal space, mid-clavicular line, V5: horizontal to V4, anterior axillary line, V6: horizontal to V5, mid-axillary line. (NCI)	12 Lead Placement Standard
C71101	C71151		ECG Test Method	12 LEAD UNSPECIFIED	12 Lead Unspecified	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but the position of the leads is unspecified. (NCI)	12 Lead Placement Unspecified
C90350	C71151		ECG Test Method	6 LEAD STANDARD	6 Lead Standard	An electrocardiogram lead placement on the subject using a six electrode lead set with three standard leads and three augmented derived leads to elicit an electrical view of the heart.	6 Lead Standard
C71121	C71151		ECG Test Method	BIPOLAR UNCORRECTED XYZ LEAD SYSTEM	Bipolar uncorrected XYZ lead system	An electrocardiogram (ECG) lead placement whereby the X+ lead is placed at the right mid-axillary line ate the 4th intercostal space, X- at the left mid-axillary line at he 4th intercostal space, Y+ at the proximal left leg, Y- at the superior aspect of the manubrium, Z+ at the direct posterior to Z- and Z- at the 4th intercostal space at the left sternal margin. (NCI)	Lead Placement Bipolar Uncorrected XYZ
C71120	C71151		ECG Test Method	CUBE LEAD SYSTEM	Cube lead system	An electrocardiogram (ECG) lead placement that is a type of uncorrected vectorcardiograph. This lead system is based on a rectangular body axis. It uses an extra number of electrodes to make it three-dimensional. (NCI)	Lead Placement Cube
C71118	C71151		ECG Test Method	FRANK LEAD SYSTEM	Frank lead system	An electrocardiogram (ECG) lead placement for determining 3 orthogonal components X (right to left direction), Y (foot to head direction) and Z (back to front direction) of the heart. For this method a minimum of 4 electrodes are needed that represent the right arm, left arm, left leg and back. However, usually 7 electrodes are used to avoid dependence on the dipole location and facilitate interpretation. (NCI)	Lead Placement Frank
C71119	C71151		ECG Test Method	MCFEE-PARUNGAO LEAD SYSTEM	McFee-Parungao lead system	An electrocardiogram (ECG) lead placement for determining 3 orthogonal components X (back to front), Y (right to left) and Z (foot to head) of the heart. This system places the electrodes closer to the heart to achieve better orthogonality and a homogeneous lead field. (NCI)	Lead Placement McFee-Parungao
C71122	C71151		ECG Test Method	PSEUDO-ORTHOGONAL XYZ LEAD SYSTEM	Pseudo-orthogonal XYZ lead system	An electrocardiogram (ECG) lead placement that allows monitoring and recording of cardiac electrical activity. A V1-type lead is used whose positive electrode is localized in the 4th intercostal space, 2.5cm from the sternum. Its negative electrode is placed below the left clavicle. An addition of lead V5 and aVF can be made to facilitate interpretation. (NCI)	Lead Placement Pseudo Orthogonal XYZ
C71128	C71151		ECG Test Method	STANDARD 12-LEAD AND CC5-CM5-ML	Standard 12-lead and CC5-CM5-ML	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but the standard lead positions have been modified so that the negative reference is at CM5 and the active electrode is at the left leg position. (NCI)	12 Lead Placement Standard And CC5-CM5-ML
C71126	C71151		ECG Test Method	STANDARD 12-LEAD AND CM5-CC5-CH5	Standard 12-lead and CM5-CC5-CH5	An electrocardiogram (ECG) lead placement whereby 12 leadpoints are recorded but the standard lead positions have been modified so that the bipolar lead groups place the negative of the reference electrode over the manubrium (CM5), the right scapula (CB5), V5R (CC5) or on the forehead (CH5) and the active electrode at V5. (NCI)	12 Lead Placement Standard And CC5-CM5-CH5
C71131	C71151		ECG Test Method	STANDARD 12-LEAD EXTENDED LEFT	Standard 12-lead extended to the left by V7, V8, V9	An electrocardiogram (ECG) lead placement whereby the standard lead placement is modified by having leads V7, V8 and V9. (NCI)	12 Lead Placement Standard Extended Left
C71130	C71151		ECG Test Method	STANDARD 12-LEAD EXTENDED RIGHT	Standard 12-lead extended to the right by V5R, V4R, V3R	An electrocardiogram (ECG) lead placement whereby the rightward oriented V leads progress from V1R, placed instead of the standard V2, to V6R. The V3 lead in the standard placement is replaced by V4R. (NCI)	12 Lead Placement Standard Extended Right
C71115	C71151		ECG Test Method	STANDARD LEADS FOR BICYCLE EXERCISE	Standard leads for bicycle exercise. Limb leads on the back (shoulder and on the hips)	Limb leads on the back (shoulder and on the hips). (NCI)	Lead Placement Bicycle
C71117	C71151		ECG Test Method	STANDARD LEADS ONE INTERCOSTAL SPACE HIGHER	Standard leads one intercostal space higher	An electrocardiographic lead placement schema in which the V leads are placed one intercostal space cephalad to the position they would have in the standard lead placement schema. (NCI)	Lead Placement Standard Intercostal Space Higher
C71092	C71151		ECG Test Method	VECTORCARDIOGRAPH CORRECTED	Vectorcardiograph Corrected	A recording of the electrical activity of the heart displayed in the form of a vector loop, corrected for anatomic inconsistencies. (NCI)	Vectorcardiograph Corrected
C71093	C71151		ECG Test Method	VECTORCARDIOGRAPH UNCORRECTED	Vectorcardiograph Uncorrected	A recording of the electrical activity of the heart displayed in the form of a vector loop, uncorrected for anatomic inconsistencies. (NCI)	Vectorcardiograph Uncorrected
C71152		Yes	ECG Test Name	EGTEST	ECG Test Name	Terminology codelist used with ECG Test Names within CDISC.	CDISC SDTM ECG Test Name Terminology
C116140	C71152		ECG Test Name	Acute Myocardial Ischemia ECG Change	Acute Myocardial Ischemia ECG Change	An electrocardiographic finding assessment of new or presumed new significant ST-segment-T wave (ST-T) changes or new left bundle branch block consistent with acute myocardial ischemia. (Thygesen K, Alpert JS, Jaffe AS, et al.: the Writing Group on behalf of the Joint ESC/ACCF/AHA/WHF Task Force for the Universal Definition of Myocardial Infarction. J Am Coll Cardiol 60(16):1-18, 2012)	Acute Myocardial Ischemia by ECG Assessment
C111131	C71152		ECG Test Name	Atrioventricular Conduction	Atrioventricular Conduction	An electrocardiographic assessment of cardiac atrioventricular conduction.	Atrioventricular Conduction ECG Assessment
C111132	C71152		ECG Test Name	Axis and Voltage	Axis and Voltage	An electrocardiographic assessment of mean cardiac electrical vector and the ECG voltage.	Axis and Voltage ECG Assessment
C111155	C71152		ECG Test Name	Chamber Hypertrophy or Enlargement	Chamber Hypertrophy or Enlargement	An electrocardiographic assessment of chamber hypertrophy or enlargement.	Chamber Hypertrophy or Enlargement ECG Assessment
C117761	C71152		ECG Test Name	Comparison to a Prior ECG	Comparison to a Prior ECG	A comparative interpretation of an ECG relative to a previous (comparator) ECG. The definition of the comparator ECG may be specified elsewhere. Common comparator result values include improved, no change, deteriorated.	Comparison to a Prior ECG
C119253	C71152		ECG Test Name	ECG Maximum Atrial Rate	ECG Maximum Atrial Rate	An electrocardiographic measurement of the maximum rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Maximum Atrial Rate by Electrocardiogram
C119257	C71152		ECG Test Name	ECG Maximum Heart Rate	ECG Maximum Heart Rate	An electrocardiographic measurement of the maximum rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the maximum ventricular rate.	Maximum Heart Rate by Electrocardiogram
C119260	C71152		ECG Test Name	ECG Maximum Ventricular Rate	ECG Maximum Ventricular Rate	An electrocardiographic measurement of the maximum rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Maximum Ventricular Rate by Electrocardiogram
C119256	C71152		ECG Test Name	ECG Mean Atrial Rate	ECG Mean Atrial Rate	An electrocardiographic measurement of the average rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Mean Atrial Rate by Electrocardiogram
C119259	C71152		ECG Test Name	ECG Mean Heart Rate	ECG Mean Heart Rate	An electrocardiographic measurement of the average rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the mean ventricular rate.	Mean Heart Rate by Electrocardiogram
C119263	C71152		ECG Test Name	ECG Mean Ventricular Rate	ECG Mean Ventricular Rate	An electrocardiographic measurement of the average rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Mean Ventricular Rate by Electrocardiogram
C119254	C71152		ECG Test Name	ECG Median Atrial Rate	ECG Median Atrial Rate	An electrocardiographic measurement of the median rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Median Atrial Rate by Electrocardiogram
C119261	C71152		ECG Test Name	ECG Median Ventricular Rate	ECG Median Ventricular Rate	An electrocardiographic measurement of the median rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Median Ventricular Rate by Electrocardiogram
C119255	C71152		ECG Test Name	ECG Minimum Atrial Rate	ECG Minimum Atrial Rate	An electrocardiographic measurement of the minimum rate of atrial depolarizations (P waves) recorded during an interval of time, usually expressed in beats per minute.	Minimum Atrial Rate by Electrocardiogram
C119258	C71152		ECG Test Name	ECG Minimum Heart Rate	ECG Minimum Heart Rate	An electrocardiographic measurement of the minimum rate of depolarization of a specific region of the heart during an interval of time, usually expressed in beats per minute. Unless otherwise specified, this is usually the minimum ventricular rate.	Minimum Heart Rate by Electrocardiogram
C119262	C71152		ECG Test Name	ECG Minimum Ventricular Rate	ECG Minimum Ventricular Rate	An electrocardiographic measurement of the minimum rate of ventricular depolarizations (QRS complexes) recorded during an interval of time, usually expressed in beats per minute.	Minimum Ventricular Rate by Electrocardiogram
C41255	C71152		ECG Test Name	Interpretation	Interpretation	An act or process of elucidation; explication, or explanation of the meaning of the event or thing via the assignment of objects from the domain to the constants of a formal language, truth-values to the proposition symbols, truth-functions to the connectives, other functions to the function symbols, and extensions to the predicates, if any. The assignments are result of human logic application and are not native to the symbols of the formal language.	Interpretation
C111238	C71152		ECG Test Name	Intraventricular-Intraatrial Conduction	Intraventricular-Intraatrial Conduction	An electrocardiographic assessment of intraventricular and intra-atrial conduction.	Intraventricular and Intraatrial Conduction ECG Assessment
C117767	C71152		ECG Test Name	J-Tpeak Interval, Aggregate	J-Tpeak Interval, Aggregate	An aggregate J-Tpeak value based on the measurement of J-Tpeak intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate J-T Peak Interval
C117768	C71152		ECG Test Name	J-Tpeak Interval, Single Beat	J-Tpeak Interval, Single Beat	An electrocardiographic interval measured from the J point to the peak of the T wave of a single beat utilizing one or more leads.	Single Beat J-T Peak Interval
C117762	C71152		ECG Test Name	JT Interval, Aggregate	JT Interval, Aggregate	An aggregate JT value based on the measurement of JT intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate JT Interval
C117769	C71152		ECG Test Name	JT Interval, Single Beat	JT Interval, Single Beat	An electrocardiographic interval measured from the J point to the offset of the T wave of a single beat utilizing one or more leads.	Single Beat JT Interval
C62118	C71152		ECG Test Name	JTcB - Bazett's Correction Formula	JTcB - Bazett's Correction Formula	A formula which takes into account the physiologic shortening of the JT interval which occurs as the heart rate increases, permitting comparison of the JT interval across a range of rates. It is mathematically defined as: JTcB = JT/SqRootRR(seconds) and theoretically corrects the JT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	JTcB - Bazett's Correction Formula
C117763	C71152		ECG Test Name	JTCB Interval, Aggregate	JTCB Interval, Aggregate	A JTAG interval corrected for heart rate using Bazett's formula.	Aggregate JTCB Interval
C117764	C71152		ECG Test Name	JTCB Interval, Single Beat	JTCB Interval, Single Beat	A JTSB interval corrected for heart rate using Bazett's formula.	Single Beat JTCB Interval
C62119	C71152		ECG Test Name	JTcF - Fridericia's Correction Formula	JTcF - Fridericia's Correction Formula	A formula which takes into account the physiologic shortening of the JT interval which occurs as the heart rate increases, permitting comparison of the JT interval across a range of rates. It is mathematically defined as: JTcF = JT/CubeRootRR(seconds) and theoretically corrects the JT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	JTcF - Fridericia's Correction Formula
C117765	C71152		ECG Test Name	JTCF Interval, Aggregate	JTCF Interval, Aggregate	A JTAG interval corrected for heart rate using Fridericia's formula.	Aggregate JTCF Interval
C117766	C71152		ECG Test Name	JTCF Interval, Single Beat	JTCF Interval, Single Beat	A JTSB interval corrected for heart rate using Fridericia's formula.	Single Beat JTCF Interval
C62120	C71152		ECG Test Name	JTcLC - Linear Correction Formula	JTcLC - Linear Correction Formula	A formula which takes into account the physiologic shortening of the JT interval which occurs as the heart rate increases, permitting comparison of the JT interval across a range of rates. The linear correction formula uses population-based data obtained and validated using a large cohort of subjects. Using this method, the corrected JT interval is independent of the ventricular rate. (NCI)	JTcLC - Linear Correction Formula
C111280	C71152		ECG Test Name	Myocardial Infarction	Myocardial Infarction	An electrocardiographic assessment of findings suggestive of myocardial infarction.	Myocardial Infarction ECG Assessment
C117770	C71152		ECG Test Name	New Q Wave	New Q Wave	An electrocardiographic finding assessment of new or presumed new pathologic Q waves suggestive of myocardial infarction. (Thygesen K, Alpert JS, Jaffe AS, et al.: the Writing Group on behalf of the Joint ESC/ACCF/AHA/WHF Task Force for the Universal Definition of Myocardial Infarction. J Am Coll Cardiol 60(16):1-18, 2012).	New Q Wave
C117777	C71152		ECG Test Name	P Wave Amplitude, Aggregate	P Wave Amplitude, Aggregate	An aggregate P wave amplitude value based on the measurement of P wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate P Wave Amplitude
C117778	C71152		ECG Test Name	P Wave Amplitude, Single Beat	P Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the P wave measured from the isoelectric baseline to the peak of the P wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	Single Beat P Wave Amplitude
C118164	C71152		ECG Test Name	P Wave Axis	P Wave Axis	A numerical representation of the electrocardiographic vector assessed at maximum deviation of the P wave from the isoelectric baseline, usually reported for the frontal plane.	P Wave Axis
C117775	C71152		ECG Test Name	P Wave Duration, Aggregate	P Wave Duration, Aggregate	An aggregate P wave duration value based on the measurement of P wave duration intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate P Wave Duration
C117776	C71152		ECG Test Name	P Wave Duration, Single Beat	P Wave Duration, Single Beat	An electrocardiographic interval measured from the onset of the P wave to the offset of the P wave of a single beat utilizing one or more leads.	Single Beat P Wave Duration
C111285	C71152		ECG Test Name	Pacemaker	Pacemaker	An electrocardiographic assessment of presence of artificial electronic pacing.	Pacemaker ECG Assessment
C117771	C71152		ECG Test Name	PP Interval, Aggregate	PP Interval, Aggregate	An aggregate PP value based on the measurement of PP intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate PP Interval
C117772	C71152		ECG Test Name	PP Interval, Single Measurement	PP Interval, Single Measurement	An electrocardiographic measurement of the interval between the onsets of two consecutive P waves.	Single Measurement PP Interval
C117773	C71152		ECG Test Name	PR Interval, Aggregate	PR Interval, Aggregate	An aggregate PR value based on the measurement of PR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate PR Interval
C117774	C71152		ECG Test Name	PR Interval, Single Beat	PR Interval, Single Beat	An electrocardiographic interval measured from the onset of the P wave to the onset of the QRS complex of a single beat utilizing one or more leads.	Single Beat PR Interval
C117789	C71152		ECG Test Name	Q Wave Amplitude, Aggregate	Q Wave Amplitude, Aggregate	An aggregate Q wave amplitude value based on the measurement of Q wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate Q Wave Amplitude
C117790	C71152		ECG Test Name	Q Wave Amplitude, Single Beat	Q Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the Q wave measured from the isoelectric baseline to the peak of the Q wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	Single Beat Q Wave Amplitude
C118165	C71152		ECG Test Name	QRS Axis	QRS Axis	A numerical representation of the electrocardiographic vector assessed at maximum deviation of the QRS complex from the isoelectric baseline, usually reported for the frontal plane.	QRS Axis
C100390	C71152		ECG Test Name	QRS Duration Ventricular Paced	QRS Duration Ventricular Paced	The average (mean) duration (time) of the QRS interval, obtained from a set of measurements of the QRS interval while the ventricle rhythm is controlled by an electrical impulse from a mechanical cardiac pacemaker. The QRS interval is defined as the time from the beginning of the QRS complex to the end of the QRS complex, representing the time it takes for the ventricles to depolarize.	Mean QRS Duration Ventricular Paced
C117779	C71152		ECG Test Name	QRS Duration, Aggregate	QRS Duration, Aggregate	An aggregate QRS value based on the measurement of QRS intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate QRS Duration
C117780	C71152		ECG Test Name	QRS Duration, Single Beat	QRS Duration, Single Beat	An electrocardiographic interval measured from the onset of the QRS complex to the offset of the QRS complex of a single beat utilizing one or more leads.	Single Beat QRS Duration
C117781	C71152		ECG Test Name	QRS Duration, Ventr. Paced, Aggregate	QRS Duration, Ventr. Paced, Aggregate	An aggregate paced QRS duration value based on the measurement of paced QRS duration intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Paced Ventricular Aggregate QRS Duration
C117782	C71152		ECG Test Name	QRS Duration, Ventr. Paced, Single Beat	QRS Duration, Ventr. Paced, Single Beat	An electrocardiographic interval measured from the onset of the paced QRS complex to the offset of the QRS complex of a single beat utilizing one or more leads.	Paced Ventricular Single Beat QRS Duration
C117783	C71152		ECG Test Name	QT Interval, Aggregate	QT Interval, Aggregate	An aggregate QT value based on the measurement of QT intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate QT Interval
C100391	C71152		ECG Test Name	QT Interval, Corrected	QT Interval, Corrected	The time interval between the start of the Q wave and the end of the T wave in the cardiac cycle as corrected with a non-specified correction formula.	Corrected QT Interval
C117788	C71152		ECG Test Name	QT Interval, Single Beat	QT Interval, Single Beat	An electrocardiographic interval measured from the onset of the QRS complex to the offset of the T wave of a single beat utilizing one or more leads.	Single Beat QT Interval
C62112	C71152		ECG Test Name	QTcB - Bazett's Correction Formula	QTcB - Bazett's Correction Formula	A formula which takes into account the physiologic shortening of the QT interval which occurs as the heart rate increases, permitting comparison of the QT interval across a range of rates. It is mathematically defined as: QTcB = QT/SqRootRR(seconds) and theoretically corrects the QT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	QTcB - Bazett's Correction Formula
C117784	C71152		ECG Test Name	QTCB Interval, Aggregate	QTCB Interval, Aggregate	A QTAG interval corrected for heart rate using Bazett's formula.	Aggregate QTCB Interval
C117785	C71152		ECG Test Name	QTCB Interval, Single Beat	QTCB Interval, Single Beat	A QTSB interval corrected for heart rate using Bazett's formula.	Single Beat QTCB Interval
C62113	C71152		ECG Test Name	QTcF - Fridericia's Correction Formula	QTcF - Fridericia's Correction Formula	A formula which takes into account the physiologic shortening of the QT interval which occurs as the heart rate increases, permitting comparison of the QT interval across a range of rates. It is mathematically defined as: QTcF = QT/CubeRootRR(seconds) and theoretically corrects the QT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	QTcF - Fridericia's Correction Formula
C117786	C71152		ECG Test Name	QTCF Interval, Aggregate	QTCF Interval, Aggregate	A QTAG interval corrected for heart rate using Fridericia's formula.	Aggregate QTCF Interval
C117787	C71152		ECG Test Name	QTCF Interval, Single Beat	QTCF Interval, Single Beat	A QTSB interval corrected for heart rate using Fridericia's formula.	Single Beat QTCF Interval
C62114	C71152		ECG Test Name	QTcLC - Linear Correction Formula	QTcLC - Linear Correction Formula	A formula which takes into account the physiologic shortening of the QT interval which occurs as the heart rate increases, permitting comparison of the QT interval across a range of rates. The linear correction formula uses population-based data obtained and validated using a large cohort of subjects. This method theoretically corrects the QT interval to that which would be observed at a heart rate of 1 cycle per second. (NCI)	QTcLC - Linear Correction Formula
C90442	C71152		ECG Test Name	QTcV - Van de Water's Correction Formula	QTcV - Van de Water's Correction Formula	A mathematic formula defined as: QTcV = QT-0.087[(60/Heart Rate)-1](seconds). It permits comparison of the QT interval across a range of rates, while accounting for the progressive shortening of the QT interval which occurs as the heart rate increases. (NCI)	QTcV - Van de Water's Correction Formula
C117795	C71152		ECG Test Name	R Wave Amplitude, Aggregate	R Wave Amplitude, Aggregate	An aggregate R wave amplitude value based on the measurement of R wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	R Wave Amplitude Aggregate
C117796	C71152		ECG Test Name	R Wave Amplitude, Single Beat	R Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the R wave measured from the isoelectric baseline to the peak of the R wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	R Wave Amplitude Single Beat
C111307	C71152		ECG Test Name	Rhythm Not Otherwise Specified	Rhythm Not Otherwise Specified	An electrocardiographic assessment of cardiac rhythm not otherwise specified.	Rhythm Not Otherwise Specified ECG Assessment
C117791	C71152		ECG Test Name	RR Interval, Aggregate	RR Interval, Aggregate	An aggregate RR value based on the measurement of RR intervals from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	Aggregate RR Interval
C117792	C71152		ECG Test Name	RR Interval, Single Measurement	RR Interval, Single Measurement	An electrocardiographic measurement of the interval between two consecutive R waves. If R waves are not present, this measurement may utilize the interval between the most easily identified components of the QRS complex within two consecutive beats.	RR Interval Single Measurement
C117793	C71152		ECG Test Name	RS Wave Amplitude, Aggregate	RS Wave Amplitude, Aggregate	An aggregate RS wave amplitude value based on measurements from multiple beats from a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	RS Wave Amplitude Aggregate
C117794	C71152		ECG Test Name	RS Wave Amplitude, Single Beat	RS Wave Amplitude, Single Beat	An electrocardiographic measurement of the sum of the amplitudes of the R and S waves, obtained from a single beat in one particular lead or set of leads.	RS Wave Amplitude Single Beat
C117805	C71152		ECG Test Name	S Wave Amplitude, Aggregate	S Wave Amplitude, Aggregate	An aggregate S wave amplitude value based on the measurement of S wave amplitudes from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	S Wave Amplitude Aggregate
C117806	C71152		ECG Test Name	S Wave Amplitude, Single Beat	S Wave Amplitude, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the S wave measured from the isoelectric baseline to the peak of the S wave of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	S Wave Amplitude Single Beat
C120608	C71152		ECG Test Name	Single RR Heart Rate	Single RR Heart Rate	An electrocardiographic measurement of a heart rate derived from a single RR interval (interval between two consecutive QRS complexes).	Single Beat RR Extrapolated Heart Rate by ECG Assessment
C111312	C71152		ECG Test Name	Sinus Node Rhythms and Arrhythmias	Sinus Node Rhythms and Arrhythmias	An electrocardiographic assessment of sinus node rhythms and arrhythmias.	Sinus Node Rhythm and Arrhythmia ECG Assessment
C117797	C71152		ECG Test Name	ST Segment Depression, Aggregate	ST Segment Depression, Aggregate	An aggregate ST segment depression value based on the measurement of ST segment depression from multiple beats within a single ECG. The method of aggregation, which can vary, is typically a measure of central tendency such as the mean.	ST Segment Depression Aggregate
C117798	C71152		ECG Test Name	ST Segment Depression, Single Beat	ST Segment Depression, Single Beat	An electrocardiographic measurement of the mean amplitude (usually measured in mV) of the ST segment depression below the isoelectric baseline measured from the baseline to the ST segment of a single beat utilizing one or more leads. Based on the recording gain, this measurement may also be reported in mm.	ST Segment Depression Single Beat
